Revenue Type,Transit Agency,Year,Nominal
Sales & Use Tax,Community Transit,1989,8087999.999999999
MVET,Community Transit,1989,8087999.999999999
Fares,Community Transit,1989,3266000.0
Sales & Use Tax,Everett Transit,1989,4176999.9999999995
MVET,Everett Transit,1989,0.0
Fares,Everett Transit,1989,278000.0
Sales & Use Tax,King County Metro,1989,120856000.0
MVET,King County Metro,1989,52057000.0
Fares,King County Metro,1989,36736000.0
Sales & Use Tax,Kitsap Transit,1989,3190000.0
MVET,Kitsap Transit,1989,3151000.0
Fares,Kitsap Transit,1989,741000.0
Sales & Use Tax,Pierce Transit,1989,13514000.0
MVET,Pierce Transit,1989,11386000.0
Fares,Pierce Transit,1989,3523000.0
Sales & Use Tax,Community Transit,1990,15068000.0
MVET,Community Transit,1990,9743000.0
Fares,Community Transit,1990,3535000.0
Sales & Use Tax,Everett Transit,1990,4513000.0
MVET,Everett Transit,1990,0.0
Fares,Everett Transit,1990,304000.0
Sales & Use Tax,King County Metro,1990,135133000.0
MVET,King County Metro,1990,59018000.0
Fares,King County Metro,1990,41036000.0
Sales & Use Tax,Kitsap Transit,1990,4093000.0
MVET,Kitsap Transit,1990,3832000.0
Fares,Kitsap Transit,1990,781000.0
Sales & Use Tax,Pierce Transit,1990,14250000.0
MVET,Pierce Transit,1990,13370000.0
Fares,Pierce Transit,1990,3740000.0
Sales & Use Tax,Community Transit,1991,18341000.0
MVET,Community Transit,1991,10955000.0
Fares,Community Transit,1991,4331000.0
Sales & Use Tax,Everett Transit,1991,4581000.0
MVET,Everett Transit,1991,0.0
Fares,Everett Transit,1991,336000.0
Sales & Use Tax,King County Metro,1991,136522000.0
MVET,King County Metro,1991,62199000.0
Fares,King County Metro,1991,48252000.0
Sales & Use Tax,Kitsap Transit,1991,4274000.0
MVET,Kitsap Transit,1991,4080000.0
Fares,Kitsap Transit,1991,1253000.0
Sales & Use Tax,Pierce Transit,1991,15084000.0
MVET,Pierce Transit,1991,13953000.0
Fares,Pierce Transit,1991,4649000.0
Sales & Use Tax,Community Transit,1992,19964000.0
MVET,Community Transit,1992,11725000.0
Fares,Community Transit,1992,4817000.0
Sales & Use Tax,Everett Transit,1992,5882000.0
MVET,Everett Transit,1992,0.0
Fares,Everett Transit,1992,357000.0
Sales & Use Tax,King County Metro,1992,140247000.0
MVET,King County Metro,1992,66528000.00000001
Fares,King County Metro,1992,51167000.0
Sales & Use Tax,Kitsap Transit,1992,4671000.0
MVET,Kitsap Transit,1992,4699000.0
Fares,Kitsap Transit,1992,1397000.0
Sales & Use Tax,Pierce Transit,1992,16074000.000000002
MVET,Pierce Transit,1992,14237000.0
Fares,Pierce Transit,1992,5023000.0
Sales & Use Tax,Community Transit,1993,21063000.0
MVET,Community Transit,1993,11359000.0
Fares,Community Transit,1993,5207000.0
Sales & Use Tax,Everett Transit,1993,6240000.0
MVET,Everett Transit,1993,0.0
Fares,Everett Transit,1993,438000.0
Sales & Use Tax,King County Metro,1993,149685000.0
MVET,King County Metro,1993,64958000.0
Fares,King County Metro,1993,55719000.0
Sales & Use Tax,Kitsap Transit,1993,6475000.0
MVET,Kitsap Transit,1993,4694000.0
Fares,Kitsap Transit,1993,1177000.0
Sales & Use Tax,Pierce Transit,1993,17839000.0
MVET,Pierce Transit,1993,17265000.0
Fares,Pierce Transit,1993,5471000.0
Sales & Use Tax,Community Transit,1994,21464000.0
MVET,Community Transit,1994,11931000.0
Fares,Community Transit,1994,5290000.0
Sales & Use Tax,Everett Transit,1994,5496000.0
MVET,Everett Transit,1994,0.0
Fares,Everett Transit,1994,401000.0
Sales & Use Tax,King County Metro,1994,152141000.0
MVET,King County Metro,1994,70912000.0
